Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 418413  Y 467141
X 408001  Y 467310
X 396234  Y 467310
X 418328  Y 472136
X 401906  Y 472220
X 408170  Y 472305
X 396234  Y 476792
X 418020  Y 477809
X 409252  Y 481361
X 415232  Y 481451
X 402329  Y 482463
X 395895  Y 486358
X 408170  Y 486611
X 415457  Y 491387
X 402244  Y 493045
X 395810  Y 493299
X 410304  Y 499942
X 395980  Y 505320
X 402075  Y 505489
X 415112  Y 505616
X 412160  Y 510592
X 410299  Y 510595
X 419581  Y 511394
X 411697  Y 515589
X 395980  Y 517595
X 401990  Y 517595
X 420567  Y 521357
X 418247  Y 521424
X 415245  Y 523374
X 410199  Y 523374
X 396234  Y 529785
X 401906  Y 529954
X 410364  Y 530233
X 414762  Y 530416
X 410331  Y 536994
X 415118  Y 538530
X 396403  Y 542483
X 402329  Y 542653
X 411532  Y 545627
X 417521  Y 545627
X 396488  Y 549256
X 405207  Y 549256
X 417736  Y 549848
X 411810  Y 550187
X 396742  Y 553404
X 405038  Y 553573
X 411725  Y 553658
X 417743  Y 553808
X 434369  Y 553959
X 441032  Y 553832
X 444540  Y 553825
X 426053  Y 553758
X 426117  Y 550018
X 433228  Y 549933
X 434541  Y 548277
X 440913  Y 547428
X 432684  Y 545586
X 425836  Y 545426
X 439780  Y 544030
X 438155  Y 542007
X 421130  Y 538949
X 444498  Y 537415
X 435232  Y 536707
X 439961  Y 535500
X 439961  Y 531140
X 435780  Y 530766
X 444664  Y 529891
X 431903  Y 526092
X 443108  Y 523782
X 440276  Y 520667
X 440488  Y 516845
X 428408  Y 513432
X 433815  Y 513420
X 431135  Y 513406
X 436355  Y 513396
X 428457  Y 510697
X 433864  Y 510685
X 431184  Y 510671
X 436404  Y 510661
X 428457  Y 508011
X 433864  Y 507999
X 431184  Y 507985
X 436404  Y 507975
X 428554  Y 505105
X 433962  Y 505093
X 431282  Y 505079
X 436501  Y 505069
X 440364  Y 501548
X 437262  Y 496422
X 442556  Y 491435
X 421863  Y 481562
X 441938  Y 481496
X 425767  Y 481431
X 427979  Y 478231
X 438071  Y 477584
X 438307  Y 472220
X 428148  Y 472220
X 428233  Y 467226
X 438314  Y 466978
X 447697  Y 466978
X 458258  Y 467325
X 447618  Y 472107
X 458154  Y 472386
X 447305  Y 481510
X 457657  Y 481564
X 448106  Y 491115
X 457550  Y 491275
X 447732  Y 498105
X 457497  Y 498425
X 450122  Y 503788
X 447749  Y 505079
X 452844  Y 505183
X 457977  Y 505256
X 446632  Y 508900
X 453373  Y 509340
X 458137  Y 509738
X 453231  Y 514508
X 458031  Y 514754
X 446718  Y 515358
X 453373  Y 519747
X 455861  Y 519786
X 458197  Y 520126
X 458051  Y 522633
X 457833  Y 524703
X 447001  Y 524986
X 458051  Y 527011
X 456842  Y 529021
X 453443  Y 529871
X 447001  Y 532490
X 453216  Y 536104
X 458217  Y 536104
X 453090  Y 540702
X 446930  Y 540773
X 456179  Y 543678
X 458257  Y 544171
X 458251  Y 546323
X 446789  Y 547357
X 458328  Y 548560
X 458280  Y 550915
X 453710  Y 553802
X 458187  Y 553870
X 448475  Y 553885
Drill: .035  Tool: 2  Feed: 197  Speed: 550
X 413159  Y 476455
X 423159  Y 476455
X 433159  Y 476455
X 443159  Y 476455
X 413159  Y 486455
X 433159  Y 486455
X 423159  Y 486455
X 443159  Y 486455
End of Listing
